Local authority,Library name,Event date,Name,Main outcome,Secondary outcome,Attendees,Adult Attendees,Child Attendees,Charge
Barnet,Edgware,2019-04-04,Other Early Years - Recycle & Rhyme,Cultural and creative enrichment,Stronger more resilient communities,33,15,18,0.0
Barnet,Edgware,2019-04-04,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,31,15,16,3.5
Barnet,Golders Green,2019-04-04,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Mill Hill,2019-04-04,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,North Finchley,2019-04-04,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,34,16,18,0.0
Barnet,South Friern,2019-04-04,IT,Increased digital access and literacy,Stronger more resilient communities,6,6,0,0.0
Barnet,Finchley Church End,2019-04-05,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,32,15,17,0.0
Barnet,Golders Green,2019-04-05,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,20,9,11,0.0
Barnet,Hendon,2019-04-05,Boardgames,Healthier and happier lives,Stronger more resilient communities,2,0,2,0.0
Barnet,Hendon,2019-04-05,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-04-06,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,3,3,0,0.0
Barnet,Colindale,2019-04-06,Lego,Healthier and happier lives,,9,3,6,0.0
Barnet,Edgware,2019-04-06,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Burnt Oak,2019-04-08,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
Barnet,Burnt Oak,2019-04-08,Other Child 5+ - Microbits,Healthier and happier lives,Stronger more resilient communities,6,0,6,0.0
Barnet,East Finchley,2019-04-08,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,16,8,8,0.0
Barnet,East Finchley,2019-04-08,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,4,2,2,0.0
Barnet,Finchley Church End,2019-04-08,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Burnt Oak,2019-04-09,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,Childs Hill,2019-04-09,Other Child 5+ - Gardening for children,Healthier and happier lives,Stronger more resilient communities,8,4,4,0.0
Barnet,Childs Hill,2019-04-09,IT,Increased digital access and literacy,Stronger more resilient communities,5,5,0,0.0
Barnet,Chipping Barnet,2019-04-09,Other Early Years - Bunny Craft,Cultural and creative enrichment,Stronger more resilient communities,20,10,10,5.5
Barnet,Colindale,2019-04-09,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-04-09,Other adult - Age UK: Gentle Exercise for 55+,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,East Barnet,2019-04-09,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,26,13,13,0.0
Barnet,East Barnet,2019-04-09,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,22,11,11,0.0
Barnet,Golders Green,2019-04-09,Other adult,Cultural and creative enrichment,,5,5,0,0.0
Barnet,Hendon,2019-04-09,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,Hendon,2019-04-09,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Mill Hill,2019-04-09,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,North Finchley,2019-04-09,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Osidge,2019-04-09,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,33,3,30,0.0
Barnet,Childs Hill,2019-04-10,Other Child 5+ - Easter arts and crafts fun,Healthier and happier lives,Stronger more resilient communities,59,28,31,0.0
Barnet,Chipping Barnet,2019-04-10,Other Child 5+ - Go Green Comic Drawing,Healthier and happier lives,Stronger more resilient communities,1,0,1,0.0
Barnet,Chipping Barnet,2019-04-10,Other teen - Go Green Super heroes Comic Workshop,Cultural and creative enrichment,Stronger more resilient communities,1,0,1,7.5
Barnet,Chipping Barnet,2019-04-10,Other Early Years - Baa-rmy crafts,Cultural and creative enrichment,Stronger more resilient communities,19,12,7,0.0
Barnet,Chipping Barnet,2019-04-10,Other Child 5+,Healthier and happier lives,Stronger more resilient communities,19,7,12,0.0
Barnet,Colindale,2019-04-10,Other - Charge All Entrants - Design & Decorate a mini planter,Cultural and creative enrichment,Stronger more resilient communities,4,2,2,0.0
Barnet,Colindale,2019-04-10,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-04-10,Other Child 5+ - Design a mini planter,Healthier and happier lives,Stronger more resilient communities,4,2,2,5.5
Barnet,Colindale,2019-04-10,Other adult - Age UK: Over 55s Gentle Tai Chi Class,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,Hendon,2019-04-10,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Osidge,2019-04-10,IT,Increased digital access and literacy,Stronger more resilient communities,1,1,0,0.0
Barnet,Osidge,2019-04-10,IT,Increased digital access and literacy,Stronger more resilient communities,3,3,0,0.0
Barnet,Childs Hill,2019-04-11,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Childs Hill,2019-04-11,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,0,0,0,0.0
Barnet,Chipping Barnet,2019-04-11,Other Child 5+ - Go Green Comic Drawing,Healthier and happier lives,Stronger more resilient communities,1,0,1,0.0
Barnet,Chipping Barnet,2019-04-11,Other teen - Go Green super Heroes comic Workshop,Cultural and creative enrichment,Stronger more resilient communities,1,0,1,7.5
Barnet,Colindale,2019-04-11,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,Edgware,2019-04-11,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,14,14,0,0.0
Barnet,Golders Green,2019-04-11,Other Child 5+ - Flower Power,Healthier and happier lives,Stronger more resilient communities,23,7,16,0.0
Barnet,North Finchley,2019-04-11,Other Early Years - Bunny Craft,Cultural and creative enrichment,Stronger more resilient communities,3,1,2,5.5
Barnet,South Friern,2019-04-11,IT,Increased digital access and literacy,Stronger more resilient communities,4,4,0,0.0
Barnet,Colindale,2019-04-12,Other Child 5+ - Rock and Recycle,Healthier and happier lives,Stronger more resilient communities,6,3,3,3.5
Barnet,Colindale,2019-04-13,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,3,3,0,0.0
Barnet,North Finchley,2019-04-13,Lego,Healthier and happier lives,,6,2,4,0.0
Barnet,Burnt Oak,2019-04-15,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,12,12,0,0.0
Barnet,Chipping Barnet,2019-04-15,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,42,23,19,3.5
Barnet,Burnt Oak,2019-04-16,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,10,10,0,0.0
Barnet,Childs Hill,2019-04-16,IT,Increased digital access and literacy,Stronger more resilient communities,5,5,0,0.0
Barnet,Childs Hill,2019-04-16,Knit & Natter/Crafts/Sewing,Healthier and happier lives,,4,2,2,0.0
Barnet,Childs Hill,2019-04-16,Other Child 5+ - Gardening for children,Healthier and happier lives,Stronger more resilient communities,8,4,4,0.0
Barnet,Chipping Barnet,2019-04-16,Other Child 5+ - Design Wellie boots,Healthier and happier lives,Stronger more resilient communities,8,3,5,5.5
Barnet,Colindale,2019-04-16,Other Child 5+ - Gardening for children,Healthier and happier lives,Stronger more resilient communities,8,4,4,0.0
Barnet,Colindale,2019-04-16,Other adult - Age UK: Gentle Exercise for 55+,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,East Barnet,2019-04-16,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,12,6,6,0.0
Barnet,East Barnet,2019-04-16,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,20,10,10,0.0
Barnet,East Barnet,2019-04-16,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,20,10,10,0.0
Barnet,Golders Green,2019-04-16,Other Child 5+ - Model making out of recyclable material,Healthier and happier lives,Stronger more resilient communities,20,8,12,0.0
Barnet,Golders Green,2019-04-16,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Golders Green,2019-04-16,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,South Friern,2019-04-16,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,1,1,0,0.0
Barnet,Chipping Barnet,2019-04-17,Other adult - Alan Blair: My Life in Fishing,Healthier and happier lives,Stronger more resilient communities,22,14,8,0.0
Barnet,Chipping Barnet,2019-04-17,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-04-17,Other adult - Age UK: Over 55s Gentle Tai Chi Class,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
Barnet,Colindale,2019-04-17,Other Early Years - Recycle & Rhyme,Cultural and creative enrichment,Stronger more resilient communities,32,15,17,0.0
Barnet,Colindale,2019-04-17,Other Early Years - Recycle & Rhyme,Cultural and creative enrichment,Stronger more resilient communities,23,10,13,0.0
Barnet,Hendon,2019-04-17,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Osidge,2019-04-17,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Osidge,2019-04-17,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Childs Hill,2019-04-18,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,5,5,0,0.0
Barnet,Childs Hill,2019-04-18,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,1,1,0,0.0
Barnet,Edgware,2019-04-18,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,14,14,0,0.0
Barnet,Finchley Church End,2019-04-18,Other Child 5+ - Maya the Mermaid,Healthier and happier lives,Stronger more resilient communities,19,7,12,3.5
Barnet,South Friern,2019-04-18,IT,Increased digital access and literacy,Stronger more resilient communities,4,4,0,0.0
Barnet,Mill Hill,2019-04-20,IT,Increased digital access and literacy,Stronger more resilient communities,3,3,0,0.0
Barnet,Burnt Oak,2019-04-23,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
Barnet,Childs Hill,2019-04-23,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Chipping Barnet,2019-04-23,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,15,6,9,0.0
Barnet,Colindale,2019-04-23,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,35,17,18,0.0
Barnet,Colindale,2019-04-23,IT,Increased digital access and literacy,Stronger more resilient communities,6,6,0,0.0
Barnet,Colindale,2019-04-23,Other adult - Age UK: Gentle Exercise for 55+,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,Colindale,2019-04-23,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,East Barnet,2019-04-23,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,18,9,9,0.0
Barnet,East Barnet,2019-04-23,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,28,14,14,0.0
Barnet,Finchley Church End,2019-04-23,Other Early Years - Recycle & Rhyme,Cultural and creative enrichment,Stronger more resilient communities,33,16,17,0.0
Barnet,Finchley Church End,2019-04-23,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,8,4,4,3.5
Barnet,Golders Green,2019-04-23,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Hendon,2019-04-23,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Hendon,2019-04-23,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Burnt Oak,2019-04-24,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,26,13,13,0.0
Barnet,Childs Hill,2019-04-24,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,14,6,8,0.0
Barnet,Childs Hill,2019-04-24,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,4,2,2,0.0
Barnet,Childs Hill,2019-04-24,Lego,Healthier and happier lives,,18,7,11,0.0
Barnet,Colindale,2019-04-24,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,21,10,11,3.5
Barnet,Colindale,2019-04-24,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,27,14,13,3.5
Barnet,Colindale,2019-04-24,Other adult - Age UK: Over 55s Gentle Tai Chi Class,Healthier and happier lives,Stronger more resilient communities,12,12,0,0.0
Barnet,Finchley Church End,2019-04-24,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
Barnet,Finchley Church End,2019-04-24,Scrabble,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Hendon,2019-04-24,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,6,3,3,0.0
Barnet,Hendon,2019-04-24,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Mill Hill,2019-04-24,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,16,8,8,0.0
Barnet,Mill Hill,2019-04-24,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Osidge,2019-04-24,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,20,10,10,0.0
Barnet,Osidge,2019-04-24,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,South Friern,2019-04-24,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,14,7,7,0.0
Barnet,Childs Hill,2019-04-25,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,3,3,0,0.0
Barnet,Childs Hill,2019-04-25,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,1,1,0,0.0
Barnet,Colindale,2019-04-25,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-04-25,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,24,12,12,0.0
Barnet,East Barnet,2019-04-25,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,14,14,0,0.0
Barnet,Edgware,2019-04-25,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,14,14,0,0.0
Barnet,Edgware,2019-04-25,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,18,9,9,3.5
Barnet,Edgware,2019-04-25,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,14,7,7,3.5
Barnet,Edgware,2019-04-25,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,1,1,0,0.0
Barnet,Mill Hill,2019-04-25,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,Mill Hill,2019-04-25,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,North Finchley,2019-04-25,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,34,16,18,0.0
Barnet,Osidge,2019-04-25,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,33,3,30,0.0
Barnet,South Friern,2019-04-25,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Finchley Church End,2019-04-26,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,9,4,5,0.0
Barnet,Golders Green,2019-04-26,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,14,7,7,0.0
Barnet,Hendon,2019-04-26,Boardgames,Healthier and happier lives,Stronger more resilient communities,13,4,9,0.0
Barnet,Hendon,2019-04-26,Class Visits Primary,Increased reading and literacy,Stronger more resilient communities,20,2,18,0.0
Barnet,Colindale,2019-04-27,Advice/Surgery,Helping everyone achieve their full potential,Stronger more resilient communities,4,4,0,0.0
Barnet,Colindale,2019-04-27,Lego,Healthier and happier lives,,12,4,8,0.0
Barnet,North Finchley,2019-04-27,Lego,Healthier and happier lives,,6,2,4,0.0
Barnet,Burnt Oak,2019-04-29,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,Burnt Oak,2019-04-29,Coffee morning/Afternoon tea,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
Barnet,Chipping Barnet,2019-04-29,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,50,25,25,3.5
Barnet,Chipping Barnet,2019-04-29,Creative Play,Cultural and creative enrichment,Stronger more resilient communities,32,16,16,5.5
Barnet,East Finchley,2019-04-29,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,28,14,14,0.0
Barnet,East Finchley,2019-04-29,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,28,13,15,0.0
Barnet,Edgware,2019-04-29,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,15,7,8,0.0
Barnet,Edgware,2019-04-29,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,15,7,8,0.0
Barnet,Edgware,2019-04-29,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,50,25,25,
Barnet,Finchley Church End,2019-04-29,Reading Group Teen,Healthier and happier lives,Stronger more resilient communities,11,0,11,0.0
Barnet,Finchley Church End,2019-04-29,IT,Increased digital access and literacy,Stronger more resilient communities,2,2,0,0.0
Barnet,Burnt Oak,2019-04-30,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,9,9,0,0.0
Barnet,Childs Hill,2019-04-30,Other Child 5+ - Gardening for children,Healthier and happier lives,Stronger more resilient communities,20,7,13,0.0
Barnet,Childs Hill,2019-04-30,IT,Increased digital access and literacy,Stronger more resilient communities,6,6,0,0.0
Barnet,Chipping Barnet,2019-04-30,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,23,10,13,0.0
Barnet,Colindale,2019-04-30,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,7,5,2,0.0
Barnet,Colindale,2019-04-30,Other adult - Age UK: Gentle Exercise for 55+,Healthier and happier lives,Stronger more resilient communities,8,8,0,0.0
Barnet,Colindale,2019-04-30,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,38,19,19,0.0
Barnet,Finchley Church End,2019-04-30,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,35,18,17,3.5
Barnet,Finchley Church End,2019-04-30,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,21,10,11,3.5
Barnet,Golders Green,2019-04-30,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Hendon,2019-04-30,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Hendon,2019-04-30,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Osidge,2019-04-30,Other adult - Creative writing,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Burnt Oak,2019-05-01,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,12,6,6,0.0
Barnet,Childs Hill,2019-05-01,Lego,Healthier and happier lives,,20,8,12,0.0
Barnet,Childs Hill,2019-05-01,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,2,2,0,0.0
Barnet,Childs Hill,2019-05-01,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,12,6,6,0.0
Barnet,Childs Hill,2019-05-01,Other Child 5+ - Gardening for children,Healthier and happier lives,Stronger more resilient communities,19,7,12,0.0
Barnet,Colindale,2019-05-01,IT,Increased digital access and literacy,Stronger more resilient communities,7,7,0,0.0
Barnet,Colindale,2019-05-01,Baby Bounce and Play,Healthier and happier lives,Stronger more resilient communities,28,14,14,3.5
Barnet,Colindale,2019-05-01,Toddler Time,Helping everyone achieve their full potential,Increased reading and literacy,19,8,11,3.5
Barnet,Colindale,2019-05-01,Other adult - Age UK: Over 55s Gentle Tai Chi Class,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
Barnet,Finchley Church End,2019-05-01,Scrabble,Healthier and happier lives,Stronger more resilient communities,6,6,0,0.0
Barnet,Finchley Church End,2019-05-01,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,12,12,0,0.0
Barnet,Hendon,2019-05-01,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,8,4,4,0.0
Barnet,Hendon,2019-05-01,Toddler Read and Rhyme,Helping everyone achieve their full potential,Increased reading and literacy,8,4,4,0.0
Barnet,Hendon,2019-05-01,Reading Group Adult,Healthier and happier lives,Stronger more resilient communities,4,4,0,0.0
Barnet,Mill Hill,2019-05-01,Baby Rhyme Time,Healthier and happier lives,Stronger more resilient communities,25,13,12,0.0
Barnet,Mill Hill,2019-05-01,Conversation Café/Language Session,Healthier and happier lives,Stronger more resilient communities,11,11,0,0.0
